penetration_rate,spend_per_consumer,adult_share,addressable_channel_share,achievable_share,tam_usd,sam_usd,som_usd
0.0802114986199965,285.66965183988015,0.6910894793041624,0.5543976120160694,0.026369236869797433,12980943502.884476,7196604079.714664,189768957.63614655
0.13159134122901758,272.996108186875,0.7196078578040217,0.4387243502302807,0.01273127484126272,21190973501.191437,9296996080.05731,118362612.29335175
0.12650589627618058,271.088548079436,0.7329545155029003,0.4218003617875437,0.02356262617791951,20604885537.73631,8691148174.408102,204786275.4904857
0.09047277243334712,314.5101060721977,0.6772345707836098,0.5197625737229603,0.019169163585341722,15796572520.326164,8210467189.166117,157387788.66120613
0.11088386786955803,289.4836833902408,0.6530266847594333,0.4839365381652727,0.03615335585616315,17182827376.18443,8315397996.322168,300629542.8466614
0.12132073747296614,362.2830954001114,0.6482156140099768,0.4018785253342346,0.026297012065342816,23354675719.670574,9385742637.880465,246816987.3905451
0.10526079629896817,370.06128097512646,0.6517206568039317,0.4764933831204131,0.03229564804630819,20810045396.769062,9915848933.99587,320238767.2526909
0.10399377870985305,231.55890351306977,0.6946848097719174,0.5486595631192727,0.019384055309210696,13712855135.371153,7523689107.690611,145839605.79278088
0.0895070880847573,222.89109966438497,0.6220306317992927,0.5184181404401405,0.030753761018430498,10172628148.898664,5273674968.341074,162185339.6652404
0.0783076476943718,312.7063265399165,0.6248260523723079,0.4777707753534229,0.023662068203143878,12542127677.633015,5992262065.124351,141789313.67608416
0.12849351053263156,258.3872878820616,0.685855638556636,0.44290433587059574,0.018942181500183897,18666216278.40623,8267348124.004415,156601608.69009647
0.12883118466316518,176.91204250589047,0.6886942094149563,0.5212786068138431,0.02963468963680801,12866963545.402115,6707272830.871721,198767948.65227813
0.10936696612028221,374.63937458799,0.6907147632659347,0.5788662424905445,0.029651328294262903,23199016051.562664,13429127251.245909,398191460.8321248
0.09493575886932074,244.06981408777483,0.6668024404873287,0.5238345225932075,0.03863969050904857,12665207791.741444,6634473077.130651,256353986.3909435
0.09545637416044651,389.94430281793626,0.7048604533861782,0.5582431117531773,0.030071342880790667,21507102287.77715,12006191705.922594,361042307.48130333
0.11488306042543112,329.95482931325785,0.6800218474888733,0.5032647034110289,0.01808518778799896,21130247965.34963,10634107975.283178,192319839.6908537
0.12848247620627776,339.97876561992996,0.6355750974715887,0.537344329052401,0.02204761942474851,22757984939.035442,12228874147.650648,269617563.20054734
0.12745868036678037,238.63971082947674,0.7038431232014896,0.5816641003573221,0.02425752828441928,17549277676.975777,10207784811.89895,247615628.79590434
0.11852683613551551,245.56977869104702,0.7278011657026728,0.5489705687516726,0.017549421340037116,17365032468.333565,9532891750.53234,167296733.919056
0.10986450956689697,293.74589747794573,0.6268409343359784,0.5863087753526167,0.03023360550159458,16582798464.520285,9722640259.652142,293950470.04424393
0.077404133818785,231.92615121769498,0.6685289432605448,0.48928848514942896,0.025405971839847094,9837966345.515917,4813603650.148546,122294278.78385915
